x1,x2,x3,y
0,40,19,22,146.53
1,43,48,44,206.03
2,6,36,4,105.03
3,13,46,7,148.03
4,24,42,45,133.03
5,23,32,1,149.03
6,8,9,0,47.53
7,6,24,36,43.03
8,20,32,8,133.03
9,15,46,10,151.03
10,14,10,19,49.03
11,35,4,37,79.03
12,36,11,42,94.53
13,40,46,22,214.03
14,48,2,32,118.03
15,19,23,29,86.53
16,32,18,29,113.03
17,40,35,32,176.53
18,30,38,1,185.03
19,40,2,36,90.03
20,4,34,16,82.03
21,11,26,31,68.03
22,49,10,48,125.03
23,45,40,33,203.03
24,40,32,33,168.03
25,36,18,46,108.03
26,14,4,41,12.03
27,23,44,10,170.03
28,28,17,26,101.53
29,45,18,38,143.03
30,44,28,2,201.03
31,20,23,41,77.53
32,45,9,8,150.53
33,48,10,48,122.03
34,32,37,42,147.53
35,46,37,43,188.53
36,15,25,28,80.53
37,28,8,41,64.03
38,49,46,2,261.03
39,39,24,33,145.03
40,29,10,29,84.03
41,22,8,1,86.03
42,27,14,6,111.03
43,31,44,5,199.03
44,8,32,49,56.03
45,3,6,25,0.03
46,6,46,25,109.03
47,24,4,41,42.03
48,5,11,49,-5.47
49,45,18,18,163.03
50,30,41,32,161.53
51,32,32,46,131.03
52,0,28,2,69.03
53,28,42,41,149.03
54,33,30,12,163.03
55,27,8,23,79.03
56,49,33,33,197.53
57,2,25,20,49.53
58,28,31,5,157.53
59,15,40,36,110.03
60,17,0,35,17.03
61,48,15,20,162.53
62,28,48,38,167.03
63,19,7,32,43.53
64,3,16,1,49.03
65,34,43,8,202.53
66,29,32,22,146.03
67,2,23,49,15.53
68,39,37,0,210.53
69,34,45,46,169.53
70,43,8,39,111.03
71,3,23,8,59.53
72,20,15,48,50.53
73,33,31,4,173.53
74,28,41,32,155.53
75,0,27,27,41.53
76,48,9,39,128.53
77,18,14,30,60.03
78,1,44,9,105.03
79,42,4,40,97.03
80,5,24,27,49.03
81,26,31,40,116.53
82,23,25,33,99.53
83,13,24,14,86.03
84,21,42,10,159.03
85,46,6,30,124.03
86,20,1,45,18.53
87,30,18,24,112.03
88,1,28,21,53.03
89,30,23,36,112.53
90,48,22,4,196.03
91,14,48,34,129.03
92,25,42,8,173.03
93,25,25,12,126.53
94,2,44,3,114.03
95,37,44,44,178.03
96,29,28,43,115.03
97,15,40,7,139.03
98,28,35,17,155.53
99,47,3,31,118.53
